balls,strikes,deficit,runs_scored,fastballs_seen,count,optimal_action,value
1,2,1,0,3,1-2,take,0.24650381090433898
1,2,1,1,0,1-2,take,0.2506787464212192
1,2,1,1,1,1-2,take,0.2529000405781737
1,2,1,1,2,1-2,take,0.24675501614722506
1,2,1,1,3,1-2,take,0.24650381090433898
1,2,1,2,0,1-2,take,0.2506787464212192
1,2,1,2,1,1-2,take,0.2529000405781737
1,2,1,2,2,1-2,take,0.24675501614722506
1,2,1,2,3,1-2,take,0.24650381090433898
1,2,1,3,0,1-2,take,0.2506787464212192
1,2,1,3,1,1-2,take,0.2529000405781737
1,2,1,3,2,1-2,take,0.24675501614722506
1,2,1,3,3,1-2,take,0.24650381090433898
1,2,2,0,0,1-2,take,0.18210199393830395
1,2,2,0,1,1-2,take,0.1837156213434181
1,2,2,0,2,1-2,take,0.17925165613834626
1,2,2,0,3,1-2,take,0.17906917167857303
1,2,2,1,0,1-2,take,0.18210199393830395
1,2,2,1,1,1-2,take,0.1837156213434181
1,2,2,1,2,1-2,take,0.17925165613834626
1,2,2,1,3,1-2,take,0.17906917167857303
1,2,2,2,0,1-2,take,0.18210199393830395
1,2,2,2,1,1-2,take,0.1837156213434181
1,2,2,2,2,1-2,take,0.17925165613834626
1,2,2,2,3,1-2,take,0.17906917167857303
1,2,2,3,0,1-2,take,0.18210199393830395
1,2,2,3,1,1-2,take,0.1837156213434181
1,2,2,3,2,1-2,take,0.17925165613834626
1,2,2,3,3,1-2,take,0.17906917167857303
1,2,3,0,0,1-2,take,0.1322853916445229
1,2,3,0,1,1-2,take,0.13345758821764875
1,2,3,0,2,1-2,take,0.13021480447503622
1,2,3,0,3,1-2,take,0.13008224124655055
1,2,3,1,0,1-2,take,0.1322853916445229
1,2,3,1,1,1-2,take,0.13345758821764875
1,2,3,1,2,1-2,take,0.13021480447503622
1,2,3,1,3,1-2,take,0.13008224124655055
1,2,3,2,0,1-2,take,0.1322853916445229
1,2,3,2,1,1-2,take,0.13345758821764875
1,2,3,2,2,1-2,take,0.13021480447503622
1,2,3,2,3,1-2,take,0.13008224124655055
1,2,3,3,0,1-2,take,0.1322853916445229
1,2,3,3,1,1-2,take,0.13345758821764875
1,2,3,3,2,1-2,take,0.13021480447503622
1,2,3,3,3,1-2,take,0.13008224124655055
2,0,0,0,0,2-0,take,0.9093035484377718
2,0,0,0,1,2-0,take,0.9080934404807909
2,0,0,0,2,2-0,take,0.9073281969935618
2,0,0,0,3,2-0,take,0.9075306798487465
2,0,0,1,0,2-0,take,0.9093035484377718
2,0,0,1,1,2-0,take,0.9080934404807909
2,0,0,1,2,2-0,take,0.9073281969935618
2,0,0,1,3,2-0,take,0.9075306798487465
2,0,0,2,0,2-0,take,0.9093035484377718
2,0,0,2,1,2-0,take,0.9080934404807909
2,0,0,2,2,2-0,take,0.9073281969935618
2,0,0,2,3,2-0,take,0.9075306798487465
2,0,0,3,0,2-0,take,0.9093035484377718
2,0,0,3,1,2-0,take,0.9080934404807909
2,0,0,3,2,2-0,take,0.9073281969935618
2,0,0,3,3,2-0,take,0.9075306798487465
2,0,1,0,0,2-0,take,0.6786227661641662
2,0,1,0,1,2-0,take,0.6777196499159842
2,0,1,0,2,2-0,take,0.6771485406830058
2,0,1,0,3,2-0,take,0.6772996557595085
2,0,1,1,0,2-0,take,0.6786227661641662
2,0,1,1,1,2-0,take,0.6777196499159842
2,0,1,1,2,2-0,take,0.6771485406830058
2,0,1,1,3,2-0,take,0.6772996557595085
2,0,1,2,0,2-0,take,0.6786227661641662
2,0,1,2,1,2-0,take,0.6777196499159842
2,0,1,2,2,2-0,take,0.6771485406830058
2,0,1,2,3,2-0,take,0.6772996557595085
2,0,1,3,0,2-0,take,0.6786227661641662
2,0,1,3,1,2-0,take,0.6777196499159842
2,0,1,3,2,2-0,take,0.6771485406830058
2,0,1,3,3,2-0,take,0.6772996557595085
2,0,2,0,0,2-0,take,0.492975813126569
2,0,2,0,1,2-0,take,0.49231975723072474
2,0,2,0,2,2-0,take,0.4919048830877394
2,0,2,0,3,2-0,take,0.4920146584761176
2,0,2,1,0,2-0,take,0.492975813126569
2,0,2,1,1,2-0,take,0.49231975723072474
2,0,2,1,2,2-0,take,0.4919048830877394
2,0,2,1,3,2-0,take,0.4920146584761176
